gender,logical reasoning,learning style,stress level,tutions,math score,reading score,writing score
male,weak,kinesthetic learning,medium,self study,66,57,52
female,very strong,kinesthetic learning,medium,tutor,63,78,80
female,very strong,reading/writing learning,medium,self study,46,58,57
female,very strong,kinesthetic learning,medium,self study,59,71,70
female,average,auditory learning,medium,self study,61,72,70
male,very weak,reading/writing learning,medium,self study,63,61,61
female,very strong,kinesthetic learning,high,tutor,42,66,69
male,strong,kinesthetic learning,high,self study,59,62,61
female,strong,kinesthetic learning,medium,self study,80,90,89
female,average,visual learning,medium,self study,58,62,59
male,average,social learning,medium,tutor,85,84,78
female,very strong,kinesthetic learning,medium,self study,52,58,58
female,strong,social learning,high,self study,27,34,32
male,very strong,kinesthetic learning,medium,self study,59,60,58
male,very weak,auditory learning,high,tutor,49,58,60
male,very strong,visual learning,medium,tutor,69,58,53
male,very strong,auditory learning,high,self study,61,66,61
female,very weak,social learning,high,self study,44,64,58
female,strong,social learning,medium,self study,73,84,85
male,weak,kinesthetic learning,medium,self study,84,77,71
female,very strong,kinesthetic learning,high,tutor,45,73,70
male,strong,social learning,medium,self study,74,74,72
female,strong,kinesthetic learning,medium,tutor,82,97,96
female,strong,auditory learning,medium,self study,59,70,73
male,weak,reading/writing learning,high,self study,46,43,41
female,strong,social learning,medium,self study,80,90,82
female,strong,solitary learning,high,tutor,85,95,100
female,very weak,social learning,medium,self study,71,83,77
male,very weak,auditory learning,medium,self study,66,64,62
female,average,reading/writing learning,medium,self study,80,86,83
male,very strong,reading/writing learning,medium,tutor,87,100,95
male,very strong,solitary learning,high,self study,79,81,71
female,weak,social learning,high,self study,38,49,45
female,very weak,social learning,high,self study,38,43,43
female,weak,kinesthetic learning,medium,self study,67,76,75
female,weak,auditory learning,medium,self study,64,73,70
female,very strong,reading/writing learning,high,self study,57,78,67
female,strong,visual learning,medium,self study,62,64,64
male,strong,solitary learning,medium,self study,73,70,75
male,weak,social learning,high,tutor,73,67,59
female,strong,kinesthetic learning,medium,self study,77,68,77
male,weak,kinesthetic learning,medium,self study,76,67,67
male,very strong,reading/writing learning,medium,tutor,57,54,56
female,very strong,social learning,medium,tutor,65,74,77
male,very weak,visual learning,high,self study,48,45,41
female,average,visual learning,high,self study,50,67,63
female,very strong,reading/writing learning,medium,self study,85,89,95
male,average,social learning,medium,self study,74,63,57
male,strong,social learning,medium,self study,60,59,54
female,very strong,social learning,medium,tutor,59,54,67
male,very weak,kinesthetic learning,medium,self study,53,43,43
female,very weak,kinesthetic learning,high,self study,49,65,55
female,strong,visual learning,medium,tutor,88,99,100
female,very strong,visual learning,medium,self study,54,59,62
female,very strong,social learning,medium,self study,63,73,68
male,average,reading/writing learning,medium,tutor,65,65,63
female,average,reading/writing learning,medium,self study,82,80,77
female,strong,visual learning,high,tutor,52,57,56
male,strong,reading/writing learning,medium,tutor,87,84,85
female,strong,solitary learning,medium,tutor,70,71,74
male,weak,kinesthetic learning,medium,tutor,84,83,78
male,strong,reading/writing learning,medium,self study,71,66,60
male,average,social learning,medium,tutor,63,67,67
female,very strong,auditory learning,high,tutor,51,72,79
male,weak,visual learning,medium,self study,84,73,69
male,very strong,auditory learning,medium,tutor,71,74,68
male,very strong,reading/writing learning,medium,self study,74,73,67
male,strong,kinesthetic learning,medium,self study,68,59,62
male,weak,visual learning,high,tutor,57,56,54
female,very strong,reading/writing learning,high,tutor,82,93,93
female,strong,visual learning,medium,tutor,57,58,64
female,strong,solitary learning,high,tutor,47,58,67
female,very weak,social learning,medium,tutor,59,85,80
male,average,kinesthetic learning,high,self study,41,39,34
female,very strong,kinesthetic learning,high,self study,62,67,62
male,very strong,auditory learning,medium,self study,86,83,86
male,very strong,social learning,high,self study,69,71,65
male,very weak,social learning,high,self study,65,59,53
male,very strong,social learning,high,self study,68,63,54
male,very strong,reading/writing learning,high,self study,64,66,59
female,very strong,visual learning,medium,self study,61,72,70
male,very strong,visual learning,medium,self study,61,56,55
female,very weak,social learning,high,self study,47,59,50
male,very strong,social learning,medium,self study,73,66,66
male,very strong,kinesthetic learning,high,tutor,50,48,53
male,strong,reading/writing learning,medium,self study,75,68,64
male,strong,reading/writing learning,high,self study,75,66,73
male,very strong,visual learning,medium,self study,70,56,51
male,strong,social learning,medium,tutor,89,88,82
female,very strong,kinesthetic learning,medium,tutor,67,81,79
female,strong,visual learning,medium,self study,78,81,80
female,very weak,social learning,high,self study,59,73,69
female,average,reading/writing learning,medium,self study,73,83,76
male,very weak,social learning,high,self study,79,82,73
female,very strong,social learning,medium,tutor,67,74,77
male,strong,kinesthetic learning,high,self study,69,66,60
male,very strong,visual learning,medium,tutor,86,81,80
male,average,visual learning,medium,self study,47,46,42
male,average,reading/writing learning,medium,self study,81,73,72
female,very strong,kinesthetic learning,high,tutor,64,85,85
female,weak,kinesthetic learning,medium,self study,100,92,97
female,very strong,reading/writing learning,high,self study,65,77,74
male,very strong,kinesthetic learning,high,self study,65,58,49
female,very strong,reading/writing learning,high,self study,53,61,62
male,very strong,auditory learning,high,self study,37,56,47
female,strong,auditory learning,medium,self study,79,89,89
male,strong,reading/writing learning,high,self study,53,54,48
female,weak,auditory learning,medium,self study,100,100,100
male,average,visual learning,medium,tutor,72,65,68
male,very strong,auditory learning,high,self study,53,58,55
male,average,kinesthetic learning,high,self study,54,54,45
female,weak,kinesthetic learning,medium,self study,71,70,76
female,very strong,kinesthetic learning,high,self study,77,90,91
male,very weak,auditory learning,medium,tutor,75,58,62
female,very strong,kinesthetic learning,medium,self study,84,87,91
female,strong,reading/writing learning,high,self study,26,31,38
male,very weak,visual learning,high,tutor,72,67,65
female,very weak,visual learning,high,tutor,77,88,85
male,very strong,kinesthetic learning,medium,self study,91,74,76
female,very strong,reading/writing learning,medium,tutor,83,85,90
female,very strong,visual learning,medium,self study,63,69,74
female,very strong,reading/writing learning,medium,tutor,68,86,84
female,strong,social learning,medium,self study,59,67,61
female,average,reading/writing learning,medium,tutor,90,90,91
female,strong,auditory learning,medium,tutor,71,76,83
male,weak,auditory learning,medium,tutor,76,62,66
male,strong,reading/writing learning,medium,self study,80,68,72
female,strong,solitary learning,medium,self study,55,64,70
male,weak,reading/writing learning,medium,self study,76,71,67
male,average,visual learning,medium,tutor,73,71,68
female,strong,reading/writing learning,high,self study,52,59,56
male,very strong,kinesthetic learning,high,self study,68,68,61
male,very weak,visual learning,medium,self study,59,52,46
female,average,reading/writing learning,medium,self study,49,52,54
male,very strong,visual learning,medium,self study,70,74,71
male,strong,kinesthetic learning,high,self study,61,47,56
female,very strong,reading/writing learning,high,self study,60,75,74
male,average,social learning,medium,tutor,64,53,57
male,very weak,reading/writing learning,high,tutor,79,82,82
female,very weak,reading/writing learning,high,self study,65,85,76
female,very strong,reading/writing learning,medium,self study,64,64,70
female,very strong,kinesthetic learning,medium,self study,83,83,90
female,very strong,auditory learning,medium,self study,81,88,90
female,average,visual learning,medium,self study,54,64,68
male,strong,visual learning,medium,tutor,68,64,66
female,very strong,kinesthetic learning,medium,self study,54,48,52
female,strong,kinesthetic learning,high,tutor,59,78,76
female,average,social learning,medium,self study,66,69,68
male,weak,kinesthetic learning,medium,self study,76,71,72
female,strong,solitary learning,medium,self study,74,79,82
female,average,reading/writing learning,medium,tutor,94,87,92
male,very strong,kinesthetic learning,high,self study,63,61,54
female,weak,reading/writing learning,medium,tutor,95,89,92
female,strong,solitary learning,high,self study,40,59,54
female,average,social learning,medium,self study,82,82,80
male,very weak,visual learning,medium,self study,68,70,66
male,average,auditory learning,high,self study,55,59,54
male,very strong,solitary learning,medium,self study,79,78,77
female,very strong,auditory learning,medium,self study,86,92,87
male,strong,kinesthetic learning,medium,self study,76,71,73
male,very weak,social learning,medium,self study,64,50,43
male,strong,social learning,high,self study,62,49,52
female,average,social learning,medium,tutor,54,61,62
female,average,solitary learning,high,tutor,77,97,94
female,very strong,social learning,medium,tutor,76,87,85
female,strong,kinesthetic learning,medium,self study,74,89,84
female,weak,kinesthetic learning,medium,tutor,66,74,73
female,strong,social learning,medium,tutor,66,78,78
female,average,visual learning,high,tutor,67,78,79
male,strong,kinesthetic learning,medium,self study,71,49,52
female,very strong,reading/writing learning,medium,self study,91,86,84
male,strong,auditory learning,medium,self study,69,58,57
male,very strong,solitary learning,high,self study,54,59,50
male,very strong,visual learning,medium,tutor,53,52,49
male,weak,kinesthetic learning,medium,self study,68,60,59
male,very strong,social learning,high,tutor,56,61,60
female,very strong,visual learning,high,self study,36,53,43
female,strong,auditory learning,high,self study,29,41,47
female,very strong,reading/writing learning,medium,self study,62,74,70
female,very strong,reading/writing learning,medium,tutor,68,67,73
female,very strong,social learning,medium,self study,47,54,53
male,weak,reading/writing learning,medium,tutor,62,61,58
female,weak,reading/writing learning,medium,tutor,79,88,94
male,average,visual learning,medium,tutor,73,69,68
female,very strong,auditory learning,high,tutor,66,83,83
male,very strong,reading/writing learning,medium,tutor,51,60,58
female,strong,visual learning,medium,self study,51,66,62
male,weak,auditory learning,medium,tutor,85,66,71
male,very weak,reading/writing learning,medium,tutor,97,92,86
male,very strong,visual learning,medium,tutor,75,69,68
male,strong,reading/writing learning,high,tutor,79,82,80
female,very strong,reading/writing learning,medium,self study,81,77,79
female,strong,reading/writing learning,medium,self study,82,95,89
female,strong,solitary learning,medium,self study,64,63,66
male,weak,social learning,high,tutor,78,83,80
female,very weak,social learning,medium,tutor,92,100,97
male,very strong,visual learning,medium,tutor,72,67,64
female,very strong,visual learning,high,self study,62,67,64
male,very strong,solitary learning,medium,self study,79,72,69
male,very strong,social learning,high,self study,79,76,65
male,average,auditory learning,high,tutor,87,90,88
female,average,reading/writing learning,medium,self study,40,48,50
male,strong,kinesthetic learning,high,self study,77,62,64
male,weak,reading/writing learning,medium,self study,53,45,40
female,very strong,kinesthetic learning,high,self study,32,39,33
female,very strong,reading/writing learning,medium,tutor,55,72,79
male,very strong,solitary learning,high,self study,61,67,66
female,average,reading/writing learning,high,self study,53,70,70
male,strong,social learning,medium,self study,73,66,62
female,strong,kinesthetic learning,medium,tutor,74,75,79
female,very strong,kinesthetic learning,medium,self study,63,74,74
male,very strong,auditory learning,medium,tutor,96,90,92
female,strong,kinesthetic learning,high,tutor,63,80,80
male,average,auditory learning,high,self study,48,51,46
male,average,reading/writing learning,medium,self study,48,43,45
female,weak,auditory learning,high,tutor,92,100,100
female,strong,solitary learning,high,tutor,61,71,78
male,average,visual learning,high,self study,63,48,47
male,strong,auditory learning,high,self study,68,68,67
male,average,kinesthetic learning,medium,tutor,71,75,70
male,very weak,auditory learning,medium,self study,91,96,92
female,very strong,kinesthetic learning,medium,self study,53,62,56
female,very strong,visual learning,high,tutor,50,66,64
female,weak,visual learning,medium,self study,74,81,71
male,very weak,reading/writing learning,high,tutor,40,55,53
male,very weak,kinesthetic learning,medium,tutor,61,51,52
female,average,visual learning,medium,self study,81,91,89
female,average,kinesthetic learning,high,tutor,48,56,58
female,strong,solitary learning,medium,self study,53,61,68
female,strong,social learning,medium,self study,81,97,96
female,weak,social learning,medium,self study,77,79,80
female,strong,auditory learning,high,self study,63,73,78
female,strong,reading/writing learning,medium,tutor,73,75,80
